Latitude,Longitude,School Name,Ground-truthed
6.513741191,-7.523062792,EPP KATI,TRUE
6.486638602,-7.544913475,EPP SREGOUEBLY,TRUE
6.462327719,-7.559927861,EPP NOUNOUBAYE,TRUE
6.435343106,-7.553802221,EPP PETIT-GUIGLO,TRUE
6.412858491,-7.546398579,EPP PONA-GUIGLO,TRUE
6.365530374,-7.528887584,EPP DITROUDRA-BEOUE 1,TRUE
6.36527768,-7.529069087,EPP DITROUDRA-BEOUE 2,TRUE
6.352487923,-7.528165391,EPP PARIS-LEONA 1,TRUE
6.352351504,-7.52789461,EPP PARIS-LEONA 2,TRUE
6.364439262,-7.571890464,EC REMIKRO,TRUE
6.335627582,-7.5205123,EPP KRIDY,TRUE
6.483004957,-7.616649924,EPP BANCO,TRUE
6.639389283,-7.647358548,EC JUSTINKRO,TRUE
6.539253287,-7.505120603,EPI MAHAD IBOUN BAAZ,TRUE
6.533175538,-7.510961761,EPP BAILLET BENOIT SEVERIN,TRUE
6.546298604,-7.496274375,EPV LES BELLES,TRUE
6.545433485,-7.488238408,EPP GUIGLO 3,TRUE
6.546315357,-7.489800064,EPP GUIGLO 2,TRUE
6.546223595,-7.489357269,EPP GUIGLO 6,TRUE
6.545988124,-7.489240428,EPP GUIGLO 7B,TRUE
6.544170216,-7.489155471,EC EL HADJ DIALLO MAMADOU,TRUE
6.541496648,-7.490212396,EPI DAR EL SALAM,TRUE
6.537951965,-7.490277288,EPI ATABOUBIA ISLAMIA,TRUE
6.541194728,-7.49507799,EPP RESIDENCE 3,TRUE
6.541276927,-7.49534901,EPP RESIDENCE 2,TRUE
6.541096635,-7.495539435,EPP RESIDENCE 1,TRUE
6.539602493,-7.50091495,EPP HOUPHOUET BOIGNY 3,TRUE
6.539846197,-7.500760506,EPP HOUPHOUET BOIGNY 2,TRUE
6.540064011,-7.501022081,EPP HOUPHOUET BOIGNY 4,TRUE
6.539793798,-7.501384573,EPP HOUPHOUET BOIGNY 1,TRUE
6.605887288,-7.682838967,EPP KOUADIOKRO,TRUE
6.618117421,-7.715067766,EPP PETIT KATIOLA,TRUE
6.64665159,-7.704944946,EPP KAADE 2,TRUE
6.65063053,-7.691068643,EPP PETIT BOUAKE,TRUE
6.645580394,-7.665964665,EPP CHARLEKRO,TRUE
6.667260476,-7.707631645,EPP ENOCKRO,TRUE
6.646743609,-7.733517667,EPP 4 CARREFOURS,TRUE
6.650400156,-7.763221478,EPP SOKOURA 2B,TRUE
6.654240895,-7.772917415,EPP SOKOURA 2A,TRUE
6.545148062,-7.563571292,EPP MONA,TRUE
6.540480372,-7.579020123,EPP DOMOBLY,TRUE
6.54316712,-7.598653026,EPP ZOUAN 1,TRUE
6.543463863,-7.598046343,EPP ZOUAN 2,TRUE
6.543961049,-7.597972615,EPP ZOUAN 3,TRUE
6.546673077,-7.633711041,EPP GLOPAOUDY,TRUE
6.546023442,-7.651002711,EPP BEOUA 1,TRUE
6.546057698,-7.650288232,EPP BOUA 2,TRUE
6.546857494,-7.67213378,EPP NIOULDE,TRUE
6.470883549,-7.680118191,EC LOBIKRO,TRUE
6.470308782,-7.727805619,EPP TROYA 2,TRUE
6.50715265,-7.702412539,EC BONGOKRO,TRUE
6.559827941,-7.693441496,EPP GUEZON,TRUE
6.570002084,-7.71786858,EPP KAADE 1A,TRUE
6.570970215,-7.718037929,EPP KAADE 1B,TRUE
6.567938951,-7.720966742,EPP GUINKIN,TRUE
6.566524902,-7.733947788,EPP ZBLY,TRUE
6.566102621,-7.745841115,EPP DOUDY-GUEZON,TRUE
6.563671047,-7.77560959,EPP BEDY-GOAZON 2,TRUE
6.563370391,-7.778413847,EPP BEDY-GOAZON 1,TRUE
6.629319539,-7.807991815,EPP LADJIKRO,TRUE
6.565184705,-7.546712318,EPP TACTACKRO,TRUE
6.588765698,-7.557857447,EPP BANGNESSOKO,TRUE
6.575306059,-7.588443897,EPP LA COTE,TRUE
6.606503484,-7.593989907,EPP ANCIEN ZOUAN,TRUE
6.627657631,-7.604149967,EPP SADA,TRUE
6.618250423,-7.609892223,EPP CARREFOUR LA PAIX,TRUE
6.60498508,-7.643219683,EPP KOPAKE CARREFOUR,TRUE
6.464871811,-7.450155659,EPP DJEHIBLY,TRUE
6.437147442,-7.456531857,EPP MAMBLY,TRUE
6.426470984,-7.478757324,EPP SOKOURA 1,TRUE
6.385721308,-7.490475536,EPP BLOC GBOHOU,TRUE
6.303897356,-7.51187168,EPP ZRO 1,TRUE
6.30392562,-7.512269274,EPP ZRO 2,TRUE
6.303308937,-7.508493131,EPC EL HILALIYAT,TRUE
6.252096709,-7.495625386,EPP TROYA 1A,TRUE
6.251726072,-7.495671631,EPP TROYA 1B,TRUE
6.246058911,-7.531917416,EPP TROYA 3,TRUE
6.312714449,-7.419785258,EPP ZRO V15A,TRUE
6.312599169,-7.420535747,EPP ZRO V15B,TRUE
6.312665147,-7.418438772,EPP ZRO V15C,TRUE
6.274671386,-7.404925702,EPP IPOUKRO,TRUE
6.293661486,-7.437918001,EC ALLANGBAKRO,TRUE
6.3496928,-7.426451681,EC NIZAHON 3,TRUE
6.353735715,-7.438641504,EP ZRO V16 MAISON BLANCHE,TRUE
6.334612871,-7.454714978,EC TASSEREDOUGOU,TRUE
6.371299064,-7.400923593,EPP ZRO V16A,TRUE
6.370956368,-7.401222934,EPP ZRO V16B,TRUE
6.376524642,-7.394742912,EPP ZRO V17A,TRUE
6.377239065,-7.394758767,EPP ZRO V17B,TRUE
6.382232812,-7.33281843,EPP BEABLO 1,TRUE
6.382340209,-7.332474613,EPP BEABLO 2,TRUE
6.418503352,-7.375457111,EPP BOUSSOUMA,TRUE
6.437458709,-7.370425047,EPP KOULABLY,TRUE
6.421004775,-7.406030141,EPP BLOC KATY,TRUE
6.375836195,-7.435537646,EPP BLOC ZAKE,TRUE
6.395142438,-7.453367942,EPP MAPLEU,TRUE
6.55957191,-7.448156079,EPP YAOUDE 1,TRUE
6.559798427,-7.448300055,EPP YAOUDE 2,TRUE
6.561983009,-7.435444136,EPP BLAO-GOYA 1A,TRUE
6.562270909,-7.434973037,EPP BLAO-GOYA 1B,TRUE
6.507464489,-7.406726727,EPP GNOHOUONBLY,TRUE
6.520222815,-7.383694236,EPP ZIOMBLY,TRUE
6.489344529,-7.342404643,EPP KOUAMEKRO,TRUE
6.581050453,-7.408446643,EPP BLAO-GOYA 2,TRUE
6.63962419,-7.438193812,EPP KPASSOA,TRUE
6.695692144,-7.461957883,EPP BLOC4 YAOUDE,TRUE
6.677262328,-7.48517865,EPP BLOC3 YAOUDE,TRUE
6.63454595,-7.52812351,EPP BLOC 5,TRUE
6.638295281,-7.490851097,EPP GBLAPLEU 1,TRUE
6.637563189,-7.490979941,EPP GBLAPLEU 2,TRUE
6.620657138,-7.480558891,EPP BLOC2 YAOUDE,TRUE
6.531325556,-7.48196951,EPP NICLA 1,TRUE
6.531424701,-7.481860708,EPP NICLA 2,TRUE
6.531253893,-7.482195775,EPP NICLA 3,TRUE
6.540989773,-7.484047175,EPV PROTESTANTE EVENGELIQUE DE GUIGLO,TRUE
6.542158766,-7.484857445,EPP GUIGLO 7A,TRUE
